pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,st_teff
"Kepler-1513 b","Kepler-1513",160.88420000000,8.59400000,48.30991786,5491.00
"TOI-4914 b","TOI-4914",10.60057000000,12.87000000,227.00000000,5805.00
"TOI-237 c","TOI-237",1.74486147000,1.20600000,,3226.00
"TOI-1898 b","TOI-1898",45.52234000000,9.39553231,129.00000000,6241.00
"HD 330075 b","HD 330075",3.38773000000,,152.55840000,5000.00
"KOI-351 f","KOI-351",124.91440000000,2.88000000,,6080.00
"Kepler-1812 b","Kepler-1812",7.16521978400,2.32494240,,6174.00
"KMT-2017-BLG-0428L b","KMT-2017-BLG-0428L",,,5.59000000,
"Kepler-516 b","Kepler-516",24.85462415000,5.74000000,,7099.00
"Kepler-1685 b","Kepler-1685",20.49050000000,2.57673985,,5484.00
"Kepler-299 e","Kepler-299",38.28548900000,1.87000000,,5617.00
"TOI-1749 b","TOI-1749",2.38839000000,1.39000000,57.00000000,3985.00
"Kepler-406 b","Kepler-406",2.42629000000,1.43000000,6.35000000,5538.00
"OGLE-2016-BLG-1190L b","OGLE-2016-BLG-1190L",1220.00000000000,,4253.00000000,
"Kepler-1215 b","Kepler-1215",4.76703963000,1.22000000,,5616.00
"Kepler-434 b","Kepler-434",12.87470990000,12.67000000,908.96000000,5977.00
"Kepler-1998 b","Kepler-1998",3.03267135000,0.60000000,,5640.00
"Kepler-189 b","Kepler-189",10.39993100000,1.21000000,,5235.00
"HD 3765 b","HD 3765",1211.00000000000,,54.98431441,5049.80
"Kepler-400 c","Kepler-400",17.34082400000,1.49000000,,5886.00
"Kepler-852 b","Kepler-852",44.93098040000,2.54000000,,6100.00
"Kepler-444 e","Kepler-444",7.74349300000,0.54600000,,5046.00
"WASP-89 b","WASP-89",3.35642270000,11.65736000,1875.19700000,5130.00
"K2-415 b","K2-415",4.01796940000,1.01500000,7.50000000,3173.00
"Kepler-328 c","Kepler-328",71.31200000000,5.40000000,39.40000000,
"HATS-13 b","HATS-13",3.04404990000,13.58530800,172.58169000,5523.00
"Kepler-476 b","Kepler-476",14.00640607000,3.08000000,,5837.00
"HIP 94235 b","HIP 94235",7.71305700000,3.00000000,379.00000000,5991.00
"Kepler-763 d","Kepler-763",6.50327035000,1.67000000,,4999.00
"Kepler-134 c","Kepler-134",10.10578500000,1.26000000,,5983.00
"HD 136352 c","HD 136352",27.59221000000,2.91600000,11.24000000,5664.00
"Kepler-359 b","Kepler-359",25.56322200000,3.53000000,,6248.00
"Kepler-777 b","Kepler-777",5.72812599000,1.47000000,,4043.00
"Kepler-1923 b","Kepler-1923",52.60969925000,1.95958179,,5881.00
"Kepler-836 b","Kepler-836",11.36112327000,2.73000000,,5895.00
"Kepler-48 c","Kepler-48",9.67395000000,2.71000000,14.61000000,5194.00
"Kepler-521 b","Kepler-521",22.20813214000,3.18000000,,6406.00
"CWISEP J193518.59-154620.3 b","CWISEP J193518.59-154620.3",,,4926.34030850,
"Kepler-726 b","Kepler-726",21.80451088000,3.26000000,,5452.00
"Kepler-1461 b","Kepler-1461",29.34947750000,2.03000000,,4919.00
"Kepler-1471 b","Kepler-1471",3.63899398000,1.41000000,,5660.00
"HD 212301 b","HD 212301",2.24571000000,,162.09330000,6239.00
"GQ Lup b","GQ Lup",,33.60000000,6356.00000000,
"KMT-2019-BLG-1339L b","KMT-2019-BLG-1339L",,,397.00000000,
"HD 159243 c","HD 159243",248.40000000000,,603.90000000,6123.00
"EPIC 205950854 c","K2-168",8.05072200000,1.31000000,,5502.70
"KMT-2022-BLG-2076L b","KMT-2022-BLG-2076L",,,279.68899816,
"K2-162 b","K2-162",9.45889000000,1.44000000,,4842.00
"Kepler-1320 b","Kepler-1320",0.86838652800,1.70000000,,4817.00
